trade_id,symbol,side,open_time,close_time,entry_price,exit_price,size,fees,order_type
t1,BTCUSDT,LONG,2026-02-01T09:10:00Z,2026-02-01T10:05:00Z,43000,43250,0.02,0.45,market
t2,ETHUSDT,SHORT,2026-02-01T11:00:00Z,2026-02-01T11:20:00Z,2300,2280,0.3,0.35,limit
t3,SOLUSDT,LONG,2026-02-01T12:30:00Z,2026-02-01T13:10:00Z,98.5,97.2,10,0.25,market
t4,BTCUSDT,SHORT,2026-02-02T08:00:00Z,2026-02-02T08:40:00Z,43500,43420,0.03,0.55,limit
t5,ETHUSDT,LONG,2026-02-02T14:15:00Z,2026-02-02T15:45:00Z,2275,2325,0.25,0.40,market
t6,SOLUSDT,SHORT,2026-02-03T07:05:00Z,2026-02-03T07:55:00Z,102.0,104.1,8,0.22,stop
t7,BTCUSDT,LONG,2026-02-03T10:10:00Z,2026-02-03T10:30:00Z,43820,43960,0.015,0.32,market
t8,ETHUSDT,SHORT,2026-02-03T18:00:00Z,2026-02-03T19:10:00Z,2350,2368,0.28,0.38,limit
t9,SOLUSDT,LONG,2026-02-04T09:25:00Z,2026-02-04T10:05:00Z,96.0,99.0,12,0.30,market
t10,BTCUSDT,SHORT,2026-02-04T13:00:00Z,2026-02-04T14:05:00Z,44100,44420,0.02,0.50,stop
t11,ETHUSDT,LONG,2026-02-04T16:20:00Z,2026-02-04T17:05:00Z,2330,2312,0.35,0.42,market
t12,SOLUSDT,SHORT,2026-02-05T08:10:00Z,2026-02-05T08:40:00Z,101.2,100.0,9,0.20,limit
